customerID,Sum of tenure,PaymentMethod,Sum of MonthlyCharges
0002-ORFBO,9,Mailed check,65.6
0003-MKNFE,9,Mailed check,59.9
0004-TLHLJ,4,Electronic check,73.9
0011-IGKFF,13,Electronic check,98
0013-EXCHZ,3,Mailed check,83.9
0013-MHZWF,9,Credit card (automatic),69.4
0013-SMEOE,71,Bank transfer (automatic),109.7
0014-BMAQU,63,Credit card (automatic),84.65
0015-UOCOJ,7,Electronic check,48.2
0016-QLJIS,65,Mailed check,90.45
0017-DINOC,54,Credit card (automatic),45.2
0017-IUDMW,72,Credit card (automatic),116.8
0018-NYROU,5,Electronic check,68.95
0019-EFAEP,72,Bank transfer (automatic),101.3
0019-GFNTW,56,Bank transfer (automatic),45.05
0020-INWCK,71,Credit card (automatic),95.75
0020-JDNXP,34,Mailed check,61.25
0021-IKXGC,1,Electronic check,72.1
0022-TCJCI,45,Credit card (automatic),62.7
0023-HGHWL,1,Electronic check,25.1
0023-UYUPN,50,Electronic check,25.2
0023-XUOPT,13,Electronic check,94.1
0027-KWYKW,23,Electronic check,83.75
0030-FNXPP,3,Mailed check,19.85
0031-PVLZI,4,Mailed check,20.35
0032-PGELS,1,Bank transfer (automatic),30.5
0036-IHMOT,55,Bank transfer (automatic),103.7
0040-HALCW,54,Credit card (automatic),20.4
0042-JVWOJ,26,Bank transfer (automatic),19.6
0042-RLHYP,69,Bank transfer (automatic),19.7
0048-LUMLS,37,Credit card (automatic),91.2
0048-PIHNL,49,Bank transfer (automatic),20.45
0052-DCKON,66,Bank transfer (automatic),115.8
0052-YNYOT,67,Electronic check,20.55
0056-EPFBG,20,Credit card (automatic),39.4
0057-QBUQH,43,Electronic check,25.1
0058-EVZWM,55,Bank transfer (automatic),89.8
0060-FUALY,59,Electronic check,94.75
0064-SUDOG,12,Bank transfer (automatic),20.3
0064-YIJGF,27,Bank transfer (automatic),75.75
0067-DKWBL,2,Electronic check,49.25
0068-FIGTF,27,Mailed check,78.2
0071-NDAFP,25,Credit card (automatic),25.5
0074-HDKDG,25,Bank transfer (automatic),61.6
0076-LVEPS,29,Mailed check,45
0078-XZMHT,72,Bank transfer (automatic),85.15
0080-EMYVY,14,Credit card (automatic),51.45
0080-OROZO,35,Electronic check,99.25
0082-LDZUE,1,Mailed check,44.3
0082-OQIQY,29,Electronic check,94.2
0083-PIVIK,64,Electronic check,81.25
0089-IIQKO,39,Credit card (automatic),99.95
0093-EXYQL,40,Electronic check,91.55
0093-XWZFY,40,Credit card (automatic),104.5
0094-OIFMO,11,Electronic check,95
0096-BXERS,6,Electronic check,50.35
0096-FCPUF,30,Mailed check,64.5
0098-BOWSO,27,Electronic check,19.4
0100-DUVFC,70,Electronic check,104.8
0103-CSITQ,57,Bank transfer (automatic),109.4
0104-PPXDV,58,Credit card (automatic),50.3
0106-GHRQR,16,Bank transfer (automatic),71.4
0106-UGRDO,69,Electronic check,116
0107-WESLM,1,Electronic check,19.85
0107-YHINA,1,Electronic check,99.75
0111-KLBQG,32,Mailed check,93.95
0112-QAWRZ,16,Bank transfer (automatic),90.8
0112-QWPNC,49,Electronic check,84.35
0114-IGABW,71,Bank transfer (automatic),58.25
0114-PEGZZ,33,Electronic check,107.55
0114-RSRRW,10,Bank transfer (automatic),19.95
0115-TFERT,21,Electronic check,111.2
0117-LFRMW,37,Bank transfer (automatic),40.2
0118-JPNOY,26,Credit card (automatic),85.8
0121-SNYRK,50,Mailed check,35.4
0122-OAHPZ,7,Electronic check,73.85
0123-CRBRT,61,Mailed check,88.1
0125-LZQXK,15,Electronic check,101.35
0128-MKWSG,26,Mailed check,45.8
0129-KPTWJ,72,Electronic check,94.65
0129-QMPDR,44,Bank transfer (automatic),20.5
0130-SXOUN,66,Credit card (automatic),89.4
0133-BMFZO,2,Electronic check,86.25
0134-XWXCE,44,Bank transfer (automatic),74.85
0135-NMXAP,12,Bank transfer (automatic),89.75
0136-IFMYD,69,Electronic check,109.95
0137-OCGAB,1,Mailed check,80.2
0137-UDEUO,3,Mailed check,19.85
0139-IVFJG,2,Electronic check,90.35
0141-YEAYS,27,Bank transfer (automatic),86.45
0142-GVYSN,26,Electronic check,20.3
0147-ESWWR,39,Electronic check,101.25
